M,Nbus,S,bias_scale,epochs,gnn_dropout,gnn_hidden,gnn_layers,gnn_type,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_gnn,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.196437474711836,0.018534278497099876,0.01,False,False,False,0.012541177682578564,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,5.987869750999268,0.019905603490769863,0.01,True,False,False,0.010708580724895,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.59314766831087,0.020411591045558453,0.01,False,False,True,0.015314755961298943,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.002650066919765,0.018831796012818813,0.01,True,False,True,0.01187951397150755,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.8174613990964706,0.012935962527990341,0.01,False,True,False,0.0004327407805249095,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.9273498580535728,0.012736645061522722,0.01,True,True,False,0.00041552496259100735,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.8533058316543009,0.014377530664205551,0.01,False,True,True,0.00041057681664824486,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.9640696754030753,0.013364852871745825,0.01,True,True,True,0.0006410766509361565,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,7.065236683363811,0.02084788028150797,0.01,False,False,False,0.011822649277746677,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,5.352456612182747,0.01826394908130169,0.01,True,False,False,0.012659699656069279,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.281427866431832,0.02032729797065258,0.01,False,False,True,0.015281707979738712,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.136130319435209,0.021953524090349674,0.01,True,False,True,0.013684638775885105,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.2180204843340865,0.026754972524940968,0.01,False,True,False,0.0010909700067713857,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.6841691557998208,0.023432541638612747,0.01,True,True,False,0.001497330260463059,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,2.0112054434492013,0.03877142071723938,0.01,False,True,True,0.0016093774465844035,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,2,tag,256,2,0.001,4,W96,1.3255157623998925,0.031173876486718655,0.01,True,True,True,0.0010248384205624461,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.556248211650111,0.020456339232623577,0.01,False,False,False,0.014668573625385761,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,5.197859335744329,0.015923358500003815,0.01,True,False,False,0.009708285331726074,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,6.430756078812409,0.022071597166359425,0.01,False,False,True,0.01189391314983368,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,5.777505900978399,0.019319276325404644,0.01,True,False,True,0.012191853486001492,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.46343846040720116,0.011642577592283487,0.01,False,True,False,0.0002735283924266696,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6755951950645589,0.014202092308551073,0.01,True,True,False,0.0003157041210215539,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.5807140490961498,0.014724676962941885,0.01,False,True,True,0.0003012206871062517,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,3,tag,256,2,0.001,4,W96,0.6717980634532813,0.014537579379975796,0.01,True,True,True,0.0002976151881739497,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,6.434222826703014,0.0221250019967556,0.01,False,False,False,0.01508704200387001,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.716747312886316,0.018592496402561665,0.01,True,False,False,0.012122889049351215,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,6.8837856644298405,0.020351151004433632,0.01,False,False,True,0.015398814342916012,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,3,tag,256,2,0.001,4,W96,5.904999706129738,0.02017635479569435,0.01,True,False,True,0.012660385109484196,0.0001,0.0001,7.7133693419621885,0.09075134247541428
