2025-10-25 20:59:20,565 INFO    MainThread:883680 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_setup.py:_flush():81] Configure stats pid to 883680
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_setup.py:_flush():81] Loading settings from /home/wzseu/.config/wandb/settings
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_setup.py:_flush():81] Loading settings from /home/wzseu/JJC_project/wls_33/wandb/settings
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/wzseu/JJC_project/wls_33/wandb/run-20251025_205920-qw3uh020/logs/debug.log
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/wzseu/JJC_project/wls_33/wandb/run-20251025_205920-qw3uh020/logs/debug-internal.log
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_init.py:init():832] calling init triggers
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_init.py:init():837] wandb.init called with sweep_config: {'alpha': 1.7141678222552132, 'batch_size': 32, 'beta': 9.822727086188504, 'data_dir': 'data/windows_ieee33', 'device': 'cuda', 'dropout': 0, 'epochs': 60, 'gnn_hidden': 64, 'gnn_layers': 3, 'hidden_dim': 128, 'lambda_op': 0.1, 'lr': 0.001, 'num_layers': 3, 'save_dir': 'checkpoints', 'tag': 'W24', 'wandb_project': 'GridSE_PGR', 'weight_decay': 0}
config: {'data_dir': 'data/windows_ieee33', 'tag': 'W24', 'epochs': 60, 'batch_size': 32, 'lr': 0.001, 'hidden_dim': 128, 'num_layers': 3, 'gnn_hidden': 64, 'gnn_layers': 3, 'alpha': 1.7141678222552132, 'beta': 9.822727086188504, 'lambda_op': 0.1, 'device': 'cuda', 'seed': 42, 'wandb_project': 'GridSE_PGR', 'save_dir': 'checkpoints', 'dropout': 0.0, 'weight_decay': 0.0, '_wandb': {}}
2025-10-25 20:59:20,566 INFO    MainThread:883680 [wandb_init.py:init():880] starting backend
2025-10-25 20:59:20,772 INFO    MainThread:883680 [wandb_init.py:init():883] sending inform_init request
2025-10-25 20:59:20,781 INFO    MainThread:883680 [wandb_init.py:init():891] backend started and connected
2025-10-25 20:59:20,782 INFO    MainThread:883680 [wandb_run.py:_config_callback():1392] config_cb None None {'alpha': 1.7141678222552132, 'batch_size': 32, 'beta': 9.822727086188504, 'data_dir': 'data/windows_ieee33', 'device': 'cuda', 'dropout': 0, 'epochs': 60, 'gnn_hidden': 64, 'gnn_layers': 3, 'hidden_dim': 128, 'lambda_op': 0.1, 'lr': 0.001, 'num_layers': 3, 'save_dir': 'checkpoints', 'tag': 'W24', 'wandb_project': 'GridSE_PGR', 'weight_decay': 0}
2025-10-25 20:59:20,783 INFO    MainThread:883680 [wandb_init.py:init():961] updated telemetry
2025-10-25 20:59:20,789 INFO    MainThread:883680 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-25 20:59:22,368 INFO    MainThread:883680 [wandb_init.py:init():1036] starting run threads in backend
2025-10-25 20:59:22,408 INFO    MainThread:883680 [wandb_run.py:_console_start():2509] atexit reg
2025-10-25 20:59:22,408 INFO    MainThread:883680 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-25 20:59:22,408 INFO    MainThread:883680 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-25 20:59:22,408 INFO    MainThread:883680 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-25 20:59:22,410 INFO    MainThread:883680 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-25 20:59:22,882 INFO    MainThread:883680 [wandb_watch.py:_watch():68] Watching
2025-10-25 20:59:29,508 INFO    MainThread:883680 [wandb_run.py:_finish():2275] finishing run a530029885-southeast-university/GridSE_Pgr/qw3uh020
2025-10-25 20:59:29,508 INFO    MainThread:883680 [wandb_run.py:_atexit_cleanup():2474] got exitcode: 0
2025-10-25 20:59:29,508 INFO    MainThread:883680 [wandb_run.py:_restore():2456] restore
2025-10-25 20:59:29,508 INFO    MainThread:883680 [wandb_run.py:_restore():2462] restore done
2025-10-25 20:59:32,200 INFO    MainThread:883680 [wandb_run.py:_footer_sync_info():3872] logging synced files
